Name,Location,Address
Nagoshi Studio Inc.,Shibuya,Ebisu SS building 5F; 4-3-14 Ebisu; Shibuya-ku Tokyo; 150-0013
Grasshopper Manufacture Inc.,Bunkyo,Koraku Mori building 13F; 1-4-14 koraku; Bunkyo-ku; Tokyo; 112-0004
Ouka Studio,Shibuya,Shibuya Infoss Tower 4F; 20-1 Sakuragaoka-cho; Shibuya-ku Tokyo; 150-0031 & No.16 Keyun Road; Tianhe District; Guangzhou; P.R.C
NetEase Games Tokyo Office,Shinjuku,4F Shinjuku OakTower;6-8-1 Nishishinjuku; Shinjuku-Ku; Tokyo 163-6004; Japan
NetEase Games Singapore Office,Singapore,38 Beach Road #17-12 South Beach Tower Singapore 189767
NetEase Games UK Office,UK,
NetEase Games Canada Office,Canada(Montreal),2020 Bd Robert-Bourassa Bureau 2000; Montréal; QC H3A 2A5; Canada
NetEase Games Canada Office,Canada(Vancouver),
NetEase Games North America Office,Colorado,
The NineHertz ,Atlanta  US,
iTechArt ,New York  USA,
Juego Studios ,Texas  USA,
Zero Games Studio ,Paris  France,
Electronic Arts ,California  US,
Nintendo ,Washington  US,
Ubisoft ,Paris  France,
Sony Interactive Entertainment ,Tokyo  Japan,
Activision Blizzard ,California  US,
Epic Games ,NC  US,
Gameloft ,Paris  France,
Square Enix ,California  US,
Bungie Inc. ,Washington  US,
Bethesda,Rockville Maryland US,
Bandai Namco,Tokyo Japan,
Hazelight Studios,Stockholm Sweden,
Riot Games ,Los Angeles,
Niantic  Inc. ,San Francisco  California  U.S,
CD Projekt,Warsaw Poland,
Black Tower Studios,Japan,
Krafton, South Korea,
Naughty Dog,"Santa Monica, California, United States",
Don't Nod,"Paris, France",
,,
2Pi Interactive,Hyderabad,
99Games,"Udupi, Karnataka",
Apar Games,Mumbai,
CreatioSoft,Noida,
Dhruva Interactive,Bangalore,
Games2win,Mumbai,
